ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Corpus_Reference,Media_IDs,Sense_IDs,Gloss_POS,Lexical_Entries
XV000972,sid,honsenta booso ʔanna hollo ʔaabbo yine wooʃʃinannihu,honse\t-nta\tboos\t-o\tʔann\t-a\tholl\t-o\tʔaabb\t-o\tyi\t-ne\twoʃʃ\t-i\t-nanni\t-hu,nine\tNR.T.ACC\tpart\tACC\tfather\tACC\tclan_of_Sidaama\tACC\tancestor\tACC\tsay\tCVB.1PL\tcall\tEV\tIMPF.US\tNR.K.NOM,The ancestor of these 9 subdivisions is one who is called hollo xaabbo,,,VII 24-2,,SN003471,numeral\tn:Any\tn\tn:Any\tn\tn:Any\tn\tn:Any\tn\tn:Any\tv\tv:Any\tv\tAttaches to any category\tv:Any\tv>n,honse\t-nta 2\tbooso\t-o 1\tʔanna\t-a 1\thollo\t-o 1\tʔaabbo\t-o 1\tyi\t-ne 2\twoʃʃi\t-V\t-nanni\t-hu
XV000973,sid,hatte hakʼkʼiʧʧo ʔaana mai lellannohe?,hatte\thakʼkʼiʧʧo\tʔaan\t-a\tma\t-i\tleell\t-anno\t-he\t?,that\ttree\ttopside\tACC\twhat\tNOM.MOD\tappear\tIMPF.3K\t2SG.ACC/DAT\t,What appears to you on that tree?,,,I 16-2,,SN003474,pro\tn\tn\tn:Any\tpro\tn:Any\tv\tv:Any\tPronoun\t,hatte\thakʼkʼiʧʧo\tʔaana 1\t-a 1\tma\t-i 3\tleelli\t-anno\t-he\t
XV000974,sid,hogga karrai buʃʃaho ʔaantuta,hogg\t-a\tkar\t-nai\tbuʃʃa\t-ho\tʔaani\t-tu\t-ta,leaf\tACC\tspread\tIMPF.US\tsoil\tDAT.U\tbe_next_to\tPRF.3T\tNR.T.ACC,...when the leaves are spread on (lying near) the ground…,,,VII 5-19,,SN003477,n\tn:Any\tv\tv:Any\tn\tcase\tv\tv:Any\tv>n,hogga\t-a 1\tkari\t-nanni\tbuʃʃa\t-ho 1\tʔaani\t-tu 2\t-ta 1
XV000975,sid,ʔaante ʔaantete barrinni,ʔaani\t-te\tʔaan\t-te\t-te\tbarr\t-i\t-nni,be_next_to\tDER\tbe_next_to\tDER\tGEN\tday\tOBL.MOD\tABL,on the following day (idiom),,,XX 33-15,,SN003477,v\tv>postposition\tv\tv>postposition\tcase\tn\tn:Any\tcase,ʔaani\t-te 5\tʔaani\t-te 5\t-te 1\tbarra\t-i 1\t-nni 1
XV000976,sid,miniʔya ʔabaasira muleeti,min\t-i\t-ʔya\tʔabaas\t-i\t-ra\tmule\t-e\t-ti,house\tNOM.MOD\t1SG.POSS\tAwasa\tOBL\tDAT\tnear\tEV\tCOP,My house is near Awasa (Hawassa),,,I 4-2,,SN003481,n\tn:Any\tPronoun\tproper noun\tn:Any\tcase\tpostposition\tAttaches to any category\tcopula,mine\t-i 3\t-ʔya\tʔabaasa\t-i 1\t-ra 1\tmule 2\t-V\t-ti 1
XV000977,sid,gatʼareno katamaho woroonni diʔabbitanno,gatʼar\t-e\t-no\tkatama\t-ho\tworo\t-o\t-nni\tdi=\tʔabbi\t-t\t-anno,countryside\tNOM\tas_for\ttown\tDAT.U\tlower_part\tEV\tABL\tNEG=\tbring\t\tIMPF.3T,The countryside does not yield less than the city,,,VII 10-3,,SN003484,n\tn:Any\tgram\tn\tcase\tn\tAttaches to any category\tcase\tprefix\tv\t\tv:Any,gatʼare\t-e 4\t-no 2\tkatama\t-ho 1\tworo\t-V\t-nni 1\tdi=\tʔabbi\t\t-anno
XV000978,sid,ʔise haaɗe ʔabboommo,ʔis\t-e\thaaɗ\t-e\tʔabb\t-oommo,3T\tACC\ttake_along\tCVB.1SG\tbring\tPST.IMPF.1M,I fetched her and brought her back with me,,,II 7-4,,SN003484,pro\tn:Any\tv\tv:Any\tv\tv:Any,ʔise 1\t-e 2\thaaɗi\t-e 1\tʔabbi\t-oommo
XV000979,sid,lalo ʔabbineemmo woite ...,lal\t-o\tʔabb\t-iɗ\t-neemmo\twoit\t-e\t...,cattle\tACC\tbring\tAB\tIMPF.1PL\twhen\tACC\t,When we fetch the cattle ...,,,VII 1-17,,SN003486,n\tn:Any\tv\tv:Any\tv:Any\tsubordinator\tn:Any\t,lalo\t-o 1\tʔabbi\t-iɗ\t-neemmo 2\twoite 3\t-e 2\t
XV000980,sid,ʔabbiʧʧo hato karte seekkiɗɗe ...,ʔabbiʧʧ\t-o\that\t-o\tkar\t-te\tseekkiɗ\t-te\t...,raw_waasa\tACC\touter_layer_of_the_ensete_root\tACC\tspread\tCVB.3T\tprepare_for_oneself\tCVB.3T\t,Having prepared the raw wasa and spread the cover leaves ...,,,VII 7-16,,SN003489,n\tn:Any\tn\tn:Any\tv\tv:Any\tv\tv:Any\t,ʔabbiʧʧo\t-o 1\thato\t-o 1\tkari\t-te 3\tseekkiɗi\t-te 3\t
XV000981,sid,kuni ʔaddibuli lobo geeʃʃa buʃaho,kun\t-i\tʔaddibul\t-i\tlob\t-o\tgeeʃʃ\t-a\tbuʃ\t-a\t-ho,"this\tNOM.MOD\tbig,_wild_ox/horse/mule\tNOM.MOD\tbig\tACC\tsize\tACC\tevil\tACC\tCOP",This animal is very difficult to handle,,,VII 17-7,,SN003505,pro\tn:Any\tn\tn:Any\tadjective\tn:Any\tn\tn:Any\tadjective\tn:Any\tcopula,konne 2\t-i 3\tʔaddibula\t-i 3\tlobo\t-o 1\tgeeʃʃa 1\t-a 1\tbuʃa\t-a 1\t-ho 2
XV000982,sid,ʔaddis ʔababa haɗeemmo,ʔaddis ʔababa\thaɗ\t-eemmo,Addis_Abeba\tgo\tIMPF.1SG.M,I go to Addis Abeba,,,I 25-2,,SN003508,n\tv\tv:Any,ʔaddis ʔababa\thaɗi\t-eemmo
XV000983,sid,lalunni ʔado ʔafiʔneemmo,lal\t-u\t-nni\tʔad\t-o\tʔaf\t-iɗ\t-neemmo,cattle\tNOM.U\tABL\tmilk\tACC\tfind\tAB\tIMPF.1PL,From cattle we get milk,,,I 27-2,,SN003509,n\tn:Any\tcase\tn\tn:Any\tv\tv:Any\tv:Any,lalo\t-u 3\t-nni 1\tʔado\t-o 1\tʔafiɗi\t-iɗ\t-neemmo 2
XV000984,sid,ʔannaʔya ʔabbe lelliʃʃanni ʔaʤuuʤisanni gaʃʃinoʔe,ʔanna\t-ʔya\tʔabb\t-e\tlell\t-iʃ\t-anni\tʔaʤuuʤis\t-a\t-nni\tgaʃʃ\t-ino\t-ʔe,father\t1SG.POSS\tbring\tACC\tshow\tCAUS\tIMPF.US\tgive_a_bad_dream\tPART.3K\tABL\tput_up_for_the_night\tPST.IMPF.3K\t1SG.ACC/DAT,"He put me up for the night, but gave me a bad dream, bringing my father and showing him to me",,,IV 22-9,,SN003519,n\tPronoun\tv\tn:Any\tv\tv:Any\tn:Any\tv\tv:Any\tcase\tv\tv:Any\tPronoun,ʔanna\t-ʔya\tʔabbi\t-e 2\tleelli\t-iʃ\t-anni\tʔaʤuuʤisi\t-a 3\t-nni 1\tgaʃʃi\t-ino\t-ʔe
XV000985,sid,ʔaɗɗamate ʔuddano ʔuddiɗinokki manʧo ʔafí,ʔaɗɗ\t-am\t-a\t-te\tʔuddan\t-o\tʔuddiɗ\t-ino\t-kki\tmanʧ\t-o\tʔaf\t-í,take\tPASS\tINF\tGEN.U\tclothes\tOBL\tdress\tPST.IMPF.3K\tnot\tman\tACC\tsee\tPRF.3K,He saw a man without wedding clothes,,,III 30-2,,SN003521,v\tv:Any\tv:Any\tcase\tn\tn:Any\tv\tv:Any\tnegativizer\tn\tn:Any\tv\tv:Any,ʔaɗɗi\t-am\t-a 2\t-te 4\tʔuddano\t-o 3\tʔuddiɗi\t-ino\t-kki 1\tmanʧo\t-o 1\tʔafi\t-í
XV000986,sid,barʧʼimma ʔaɗɗite ʔofolli,barʧʼimm\t-a\tʔaɗɗ\t-i\t-te\tʔofoll\t-i,small_chair\tACC\ttake\tEV\tCVB.3T\tsit_down\tIMP.SG,Take a chair and sit down,,,I 39-1,,SN003524 ; SN003907,n\tn:Any\tv\tAttaches to any category\tv:Any\tv\tv:Any,barʧʼimma\t-a 1\tʔaɗɗi\t-V\t-te 3\tʔofolli\t-i 2
XV000987,sid,yitunketa ʔaɗɗineemmo,yi\t-tu\t-nke\t-ta\tʔaɗɗ\t-i\t-neemmo,judgement\tPRF.3T\t1PL.ACC/DAT\tNR.T.ACC\ttake\tEV\tIMPF.1PL,We will accept their judgement concerning us,,,IV 9-7,,SN003524,n\tv:Any\tPronoun\tv>n\tv\tAttaches to any category\tv:Any,yoo 2\t-tu 2\t-nke 2\t-ta 1\tʔaɗɗi\t-V\t-neemmo 2
XV000988,sid,kʼarra ʔaɗɗino,kʼarr\t-a\tʔaɗɗ\t-ino,trouble\tACC\ttake\tPST.IMPF.3K,He got trouble,,,I 47-4,,SN003524,n\tn:Any\tv\tv:Any,kʼarra\t-a 1\tʔaɗɗi\t-ino
XV000989,sid,tenne beetto ʔaɗɗattora halʧeemmo,tenne\tbeett\t-o\tʔaɗɗ\t-atto\t-ra\thalʧ\t-eemmo,this\tgirl\tACC\ttake\tPINF.2M\tDAT\twish\tIMPF.1SG.M,I want you to marry this girl,,,II 21-3,,SN003524,pro\tn\tn:Any\tv\tv:Any\tcase\tv\tv:Any,tenne\tbeetto\t-o 1\tʔaɗɗi\t-atto\t-ra 1\thalʧi\t-eemmo
XV000990,sid,ʔisi ʔaeeti,ʔis\t-i\tʔae\t-e\t-e\t-ti,3K\tNOM.MOD\twho\tACC\tEV\tCOP,Who is he?,,,I 2-1,,SN003529,pro\tn:Any\tpro\tn:Any\tAttaches to any category\tcopula,ʔise 2\t-i 3\tʔae 1\t-e 2\t-V\t-ti 1
XV000991,sid,bero ʔaeeba haɗitto?,ber\t-o\tʔae\t-e\t-e\t-ba\thaɗ\t-itto\t?,yesterday\tACC\twho\tOBL\tEV\tDAT\tgo\tPRF.2M\t,Who did you go to yesterday?,,,I 3-5,,SN003529,n\tn:Any\tpro\tn:Any\tAttaches to any category\tcase\tv\tv:Any\t,bero\t-o 1\tʔae 1\t-e 5\t-V\t-ba\thaɗi\t-itto\t
XV000992,sid,gaʔa ʔai daanno?,gaʔ\t-a\tʔae\t-i\tda\t-anno\t?,tomorrow\tACC\twho\tNOM\tcome\tIMPF.3K\t,Who comes tomorrow?,,,I 3-4,,SN003529,n\tn:Any\tpro\tn:Any\tv\tv:Any\t,gaʔa\t-a 1\tʔae 1\t-i 5\tdaí\t-anno\t
XV000993,sid,kuni mini aeho?,kun\t-i\tmin\t-i\ta\t-e\t-ho\t?,this\tNOM.MOD\thouse\tNOM.MOD\twho\tGEN\tDAT.U\t,To who does this house belong?,,,,,SN003531,pro\tn:Any\tn\tn:Any\tpro\tn:Any\tcase\t,konne 2\t-i 3\tmine\t-i 3\tʔae 1\t-e 7\t-ho 1\t
XV000994,sid,tini betto aete?,tin\t-i\tbeett\t-o\tʔae\t-e\t-te\t?,this\tNOM.MOD\tgirl\tACC\twhose\tGEN\tCOP.U\t,"This girl, whose is she?",,,III 18-6,,SN003531,pro\tn:Any\tn\tn:Any\tinterrogative\tn:Any\tcopula\t,tini\t-i 3\tbeetto\t-o 1\tʔae 1\t-e 7\t-te 2\t
XV000995,sid,kuni ʔae mineeti?,kuni\tʔa\t-e\tmin\t-e\t-e\t-ti\t?,this.NOM\twho\tGEN\thouse\tACC\tEV\tCOP\t,Whose home is this?,,,III 18-4,,SN003531,pro\tpro\tn:Any\tn\tn:Any\tAttaches to any category\tcopula\t,kuni\tʔae 1\t-e 7\tmine\t-e 2\t-V\t-ti 1\t
XV000996,sid,ʔae ʧʼoinnino keeranʧimmansara ʤabaanteemmo,ʔa\t-e\tʧʼo\t-i\t-nni\t-no\tkeeraanʧimma\t-nsa\t-ra\tʤabaat\t-neemmo,who\tOBL\tmatter\tOBL\tABL\talso\tpeace\t3PL.POSS\tDAT\tbe_strong\tIMPF.1PL,We will promote their well-being in every matter,,,III 12-8,,SN003532,pro\tn:Any\tn\tn:Any\tcase\tconjunction\tn\tPronoun\tcase\tv\tv:Any,ʔae 1\t-e 5\tʧʼoe\t-i 1\t-nni 1\t-no 1\tkeeraanʧimma\t-nsa\t-ra 1\tʤabaati\t-neemmo 2
XV000997,sid,dae diʔafeemmo,da\t-e\tdi=\tʔaf\t-eemmo,come\tCVB.1SG\tNEG=\tbe_able_to\tIMPF.1SG.M,I cannot come,,,XV 37-20,,SN003537,v\tv:Any\tprefix\tadverbial\tv:Any,daí\t-e 1\tdi=\tʔaf\t-eemmo
XV000998,sid,ʔanera looso ʔafoottoʔeni?,ʔane\t-ra\tloos\t-o\tʔaf\t-ootto\t-ʔe\t-ni\t?,1SG.OBL\tDAT\twork\tACC\tsee\tPST.IMPF.2M\t1SG.ACC/DAT\tINT\t,Do you see (have) any work for me?,,,I 35-7,,SN003542,pro\tcase\tn\tn:Any\tv\tv:Any\tPronoun\tinterrogative\t,ʔane 1\t-ra 1\tlooso\t-o 1\tʔafi\t-ootto\t-ʔe\t-ni 1\t
XV000999,sid,teʧʧo lobo hagirre ʔafoommo,teʧʧ\t-o\tlob\t-o\thagirr\t-e\tʔaf\t-oommo,today\tACC\tbig\tACC\tjoy\tACC\tsee\tPST.IMPF.1M,To-day I experienced a great joy,,,IV 7-4,,SN003542,n\tn:Any\tadjective\tn:Any\tn\tn:Any\tv\tv:Any,teʧʧo\t-o 1\tlobo\t-o 1\thagirre\t-e 2\tʔafi\t-oommo
XV001000,sid,hakkonne mine ʔafootto?,hakk\t-o\t-nne\tmin\t-e\tʔaf\t-ootto\t?,that_(medial)\tACC\tDEM.ACC\thouse\tACC\tsee\tPST.IMPF.2M\t,Do you see that house?,,,I 6-1,,SN003542,pro\tn:Any\tn:Any\tn\tn:Any\tv\tv:Any\t,hakko\t-o 1\t-nne\tmine\t-e 2\tʔafi\t-ootto\t
XV001001,sid,ʔafibbeelo looso loossinonnita ʔegennoommo,ʔafi\t=bbeelo\tloos\t-o\tloos\t-tinonni\t-ta\tʔegenn\t-oommo,see\t=without\twork\tACC\twork\tPST.IMPF.2PL\tNR.T.ACC\tknow\tPST.IMPF.1M,I know that you did something you (pl) did not understand,,,XIII 13-2,,SN003546,v\tderivation\tn\tn:Any\tn\tPronoun\tv>n\tv\tv:Any,ʔafi\t=bbelo\tlooso\t-o 1\tlooso\t-tinonni\t-ta 1\tʔegenni\t-oommo
XV001002,sid,mitto masafa ʔafiɗoommo,mitt\t-o\tmasaf\t-a\tʔaf\t-iɗ\t-oommo,one\tACC\tbook\tACC\tfind\tAB\tPST.IMPF.1M,I have one book,,,I 7-9,,SN003547,numeral\tn:Any\tn\tn:Any\tv\tv:Any\tv:Any,mittiʧʧo\t-o 1\tmasafa\t-a 1\tʔafiɗi\t-iɗ\t-oommo
XV001003,sid,sagale ʔite ʔafii dihooʔloommo,sagal\t-e\tʔit\t-e\tʔaf\t-i\t-i\tdi=\thool\t-ɗ\t-oommo,food\tACC\teat\tCVB.3K\tmouth\tOBL\tEV\tNEG=\tprevent\tAB\tPST.IMPF.1M,I have not finished eating,,,XIII 14-3,,SN003549,n\tn:Any\tv\tv:Any\tn\tn:Any\tAttaches to any category\tprefix\tv\tv>v\tv:Any,sagale\t-e 2\tʔiti\t-e 3\tʔafo\t-i 1\t-V\tdi=\thooli\t-ɗ\t-oommo
XV001004,sid,sidaamu ʔafoo ʔegennootto?,sidaam\t-u\tʔafo\t-o\tʔegenn\t-ootto\t?,former_name_of_the_southern_province\tGEN.U\tmouth\tACC\tknow\tPST.IMPF.2M\t,Do you know the sidaama´s language?,,,I 9-10,,SN003554,n\tn:Any\tn\tn:Any\tv\tv:Any\t,sidaamo\t-u 4\tʔafo\t-o 1\tʔegenni\t-ootto\t
XV001005,sid,haʤaʤo ʔagaɗɗemmo,haʤaʤ\t-o\tʔagaɗɗ\t-eemmo,commandment\tACC\twait\tIMPF.1SG.M,I keep a commandment,,,IV 20-5,,SN003561,n\tn:Any\tv\tv:Any,haʤaʤo\t-o 1\tʔagaɗɗi\t-eemmo
XV001006,sid,ʔisi dae wotʼe ʔaaʔe geeʃʃa ʔagaɗɗeemmo,ʔis\t-i\tda\t-e\twotʼ\t-e\tʔaa\t-ʔe\tgeeʃʃ\t-a\tʔagaɗɗ\t-eemmo,3K\tNOM.MOD\tcome\tCVB.3K\tmoney\tACC\tgive\t1SG.ACC/DAT\tuntil\tACC\twait\tIMPF.1SG.M,I will wait until he comes and gives me money,,,IV 20-4,,SN003561,pro\tn:Any\tv\tv:Any\tn\tn:Any\tv\tPronoun\tn\tn:Any\tv\tv:Any,ʔise 2\t-i 3\tdaí\t-e 3\twotʼe\t-e 2\tʔaa\t-ʔe\tgeeʃʃa 3\t-a 1\tʔagaɗɗi\t-eemmo
XV001007,sid,ʔubattokki gede ʔumokki ʔagaɗɗi,ʔub\t-atto\t-kki\tged\t-e\tʔumo\t-kki\tʔagaɗɗ\t-i,fall\tIMPF.2M\t2SG.POSS\tin_order_to\tACC\thead\t2SG.POSS\twatch_oneself\tIMP.SG,"Take care of yourself, lest you fall",,,IV 7-6,,SN003561,v\tv:Any\tPronoun\tsubordinator\tn:Any\tn\tPronoun\tv\tv:Any,ʔubi\t-atto\t-kki 2\tgede 4\t-e 2\tʔumo\t-kki 2\tʔagaɗɗi\t-i 2
XV001008,sid,saʔi ʔagani giddo ʔaddis ʔababa haɗummo,saʔ\t-í\tʔagan\t-i\tgidd\t-o\tʔaddis ʔababa\thaɗ\t-ummo,pass_by\t\tmonth\tOBL\tinside\tACC\tAddis_Abeba\tgo\tPRF.1M,Last month I went to Addis Abeba,,,I 25-2,,SN003564,v\tv:Any\tn\tn:Any\tn\tn:Any\tn\tv\tv:Any,saʔi\t-í\tʔagana\t-i 1\tgiddo 2\t-o 1\tʔaddis ʔababa\thaɗi\t-ummo
XV001009,sid,ʔagana laʔeemmo,ʔagan\t-a\tlaʔ\t-eemmo,moon\tACC\tsee\tIMPF.1SG.M,I can see the moon,,,,,SN003564,n\tn:Any\tv\tv:Any,ʔagana\t-a 1\tlaʔi\t-eemmo
XV001010,sid,hagirre ʔassine ʔagarroommo,hagirre ʔassi\t-ne\tʔagar\t-noommo,hope\tCVB.1PL\twait\tPST.IMPF.1PL,We waited with hope,,,II 22-2,,SN003567,v\tv:Any\tv\ttam,hagirre ʔassi\t-ne 2\tʔagari\t-noommo
XV001011,sid,ʔaneno danʧa gede ʔagarannoʔe,ʔane\t-no\tdanʧa gede\tʔagar\t-anno\t-ʔe,1SG.ACC\talso\twell\tkeep\tIMPF.3K\t1SG.ACC/DAT,Me also he guards well,,,II 4-3,,SN003567,pro\tconjunction\tadverbial\tv\tv:Any\tPronoun,ʔane 1\t-no 1\tdanʧa gede\tʔagari\t-anno\t-ʔe
XV001012,sid,finiinʧo woʔma ʔado ʔagino,finiinʧ\t-o\twoʔm\t-a\tʔad\t-o\tʔag\t-ino,cup\tACC\tfull\tACC\tmilk\tACC\tdrink\tPST.IMPF.3K,He drank a cup full of milk,,,IV 9-4,,SN003572,n\tn:Any\tadjective\tn:Any\tn\tn:Any\tv\tv:Any,finiinʧo\t-o 1\twoʔma\t-a 1\tʔado\t-o 1\tʔagi\t-ino
XV001013,sid,ʧʼoe diʔagoommo,ʧʼo\t-e\tdi=\tʔag\t-oommo,matter\tACC\tNEG=\tunderstand\tPST.IMPF.1M,I have understood the matter,,,XIII 38-4,,SN003573,n\tn:Any\tprefix\tv\tv:Any,ʧʼoe\t-e 2\tdi=\tʔagi\t-oommo
XV001014,sid,ʔafoommo harriʧʧo ʔagattota,ʔaf\t-oommo\tharriʧʧ\t-o\tʔag\t-atto\t-ta,understand\tPST.IMPF.1M\tdonkey\tACC\tcapture\tIMPF.2M\tNR.T.ACC,I understood that you could capture an ass,,,III 55-9,,SN003573,v\tv:Any\tn\tn:Any\tv\tv:Any\tv>n,ʔafi\t-oommo\tharriʧʧo\t-o 1\tʔagi\t-atto\t-ta 1
XV001015,sid,kaaʤʤado ʔago,kaaʤʤad\t-o\tʔag\t-o,strong\tACC\tdrink\tACC,strong (=alcoholic) drink,,,IX 25-8,,SN003575,adjective\tn:Any\tv\tn:Any,kaaʤʤado\t-o 1\tʔagi\t-o 1
XV001016,sid,ʔannu ʔoososi diʔaguranno,ʔann\t-u\tʔoos\t-o\t-si\tdi=\tʔagur\t-anno,father\tGEN.U\tchildren\tACC\t3SG.M.POSS\tNEG=\tleave\tIMPF.3K,A father does not leave his children,,,I 33-2,,SN003577,n\tn:Any\tn\tn:Any\tPronoun\tprefix\tv\tv:Any,ʔanna\t-u 4\tʔooso\t-o 1\t-si 1\tdi=\tʔaguri\t-anno
XV001017,sid,hakku baiʧʧira labballo ʧʼalla ʔagurranna meentu diʔeʔʔanno,hakk\t-u\tbaiʧʧ\t-i\t-ra\tlabball\t-o\tʧʼall\t-a\tʔagurrann\t-a\tmeent\t-u\tdi=\tʔeʔ\t-tanno,that_(medial)\tOBL.U\tplace\tOBL\tDAT\tmale_persons\tACC\tonly\tACC\texcept\tACC\twomen\tNOM\tNEG=\tenter\tPST.IMPF.3T,"To that place only males may enter, women do not enter",,,VII 29-8,,SN003578,pro\tn:Any\tn\tn:Any\tcase\tn\tn:Any\tadjective\tn:Any\tadverbial\tn:Any\tn\tn:Any\tprefix\tv\tv:Any,hakko\t-u 1\tbaiʧʧo 2\t-i 1\t-ra 1\tlabballo\t-o 1\tʧʼalla\t-a 1\tʔagurranna\t-a 1\tmeente\t-u 2\tdi=\tʔeʔi\t-tanno 2
XV001018,sid,"wole ʔagurrina gatʼare ʃaana ʔabba hooggommero, hudetʼookʼanni gatʼare daanno","wol\t-e\tʔagur\t-ni\t-na\tgatʼar\t-e\tʃaan\t-a\tʔabb\t-a\thoog\t-tomme\t-ro\t,\thud\t-e\ttʼookʼ\t-a\t-nni\tgatʼar\t-e\tda\t-anno",other\tACC\tleave\tPRF.US\tand\tcountryside\tNOM\tcabbage\tACC\tbring\tINF\tlack\tHYP.3T\tCOND\t\thunger\tACC\tflee\tPART.3K\tABL\tcountryside\tACC\tcome\tIMPF.3K,"Not to mention the other things, if the countryside did not bring the cabbage they would come to the countryside fleeing hunger",,,VII 13-3,,SN003579,adjective\tn:Any\tv\tv:Any\tv:Any\tn\tn:Any\tn\tn:Any\tv\tv:Any\tv\tv:Any\tsubordinator\t\tn\tn:Any\tv\tv:Any\tcase\tn\tn:Any\tv\tv:Any,wole\t-e 2\tʔaguri\t-ni 3\t-na 1\tgatʼare\t-e 4\tʃaana\t-a 1\tʔabbi\t-a 2\thoogi\t-tomme\t-ro\t\thude\t-e 2\ttʼookʼi\t-a 3\t-nni 1\tgatʼare\t-e 2\tdaí\t-anno
XV001019,sid,"ʔaiddumme tʼalalsara, wobansaanʧo ʔanga ʔamade no","ʔaiddumm\t-e\ttʼalals\t-a\t-ra\t,\twobansaanʧ\t-o\tʔang\t-a\tʔamad\t-e\tno",threshing-place\tACC\tclean\tPINF.3K\tDAT\t\tgrain_shovel\tACC\thand\tACC\thold_in_one's_hands\tCVB.3K\tAUX,"In order to clean his thrashing-place, he has taken the shovel in his hand",,,IX 20-9,,SN003584,n\tn:Any\tv\tv:Any\tcase\t\tn\tn:Any\tn\tn:Any\tv\tv:Any\tv,ʔaiddumme\t-e 2\ttʼalalsi\t-a 8\t-ra 1\t\twobansaanʧo\t-o 1\tʔanga\t-a 1\tʔamadi\t-e 3\tno
XV001020,sid,kuni ʔainati didanʧaho,kun\t-i\tʔainat\t-i\tdi=\tdanʧa\t-ho,this\tNOM.MOD\tkind\tNOM.MOD\tNEG=\tgood\tCOP,This kind is not good,,,III 50-9,,SN003586,pro\tn:Any\tn\tn:Any\tprefix\tadjective\tcopula,konne 2\t-i 3\tʔainate\t-i 3\tdi=\tdanʧa\t-ho 2
XV001021,sid,ʔumiʔya dananʧi ma ʔainateeti?,ʔum\t-i\t-ʔya\tdananʧ\t-i\tma\tʔainat\t-e\t-e\t-ti\t?,head\tGEN\t1SG.POSS\thair\tNOM.MOD\twhat\tkind\tACC\tEV\tCOP\t,What kind is the hair of my head (i.e. what does it look like)?,,,I 12-8,,SN003586,n\tn:Any\tPronoun\tn\tn:Any\tpro\tn\tn:Any\tAttaches to any category\tcopula\t,ʔumo\t-i 4\t-ʔya\tdananʧo\t-i 3\tma\tʔainate\t-e 2\t-V\t-ti 1\t
XV001022,sid,ʔairradu manʧi daí,ʔairrad\t-u\tmanʧ\t-i\tda\t-í,honourable\tNOM.U\tman\tNOM.MOD\tcome\t,An honourable man came,,,IV 24-4,,SN003587,adjective\tn:Any\tn\tn:Any\tv\tv:Any,ʔairrado\t-u 3\tmanʧo\t-i 3\tdaí\t-í
XV001023,sid,loosu diʔairrannosi,loos\t-u\tdi=\tʔairr\t-anno\t-si,work\tNOM.U\tNEG=\tbe_heavy\tIMPF.3K\t3K.POSS,The work is not too heavy for him,,,II 24-18,,SN003589,n\tn:Any\tprefix\tv\tv:Any\tPronoun,looso\t-u 3\tdi=\tʔairri\t-anno\t-si 1
XV001024,sid,lobo geeʃʃa waaga ʔairrinoha ʔikkinota ʔafootto,lob\t-o\tgeeʃʃ\t-a\twaag\t-a\tʔairr\t-ino\t-ha\tʔikk\t-ino\t-ta\tʔaf\t-ootto,big\tACC\tsize\tACC\tprice\tACC\tbe_heavy\tPST.IMPF.3K\tNR.K.ACC\tbecome\tPST.IMPF.3K\tNR.T.ACC\tknow\tPST.IMPF.2M,You know that its price is very high,,,VII 12-6,,SN003589,adjective\tn:Any\tn\tn:Any\tn\tn:Any\tv\tv:Any\tv>n\tv\tv:Any\tv>n\tv\tv:Any,lobo\t-o 1\tgeeʃʃa 1\t-a 1\twaaga\t-a 1\tʔairri\t-ino\t-ha\tʔikki 1\t-ino\t-ta 1\tʔafi\t-ootto
XV001025,sid,ʔakkala ʤirte diigootto,ʔakkal\t-a\tʤirt\t-e\tdiig\t-ootto,old\tACC\tlaw\tACC\ttear_down\tPST.IMPF.2M,You have broken (lit. destroyed) the old law,,,V 8-2,,SN003594,adjective\tn:Any\tn\tn:Any\tv\tv:Any,ʔakkala\t-a 1\tʤirte\t-e 2\tdiigi\t-ootto
XV001026,sid,maganu ʔalbasi tʼabisohe ...,magan\t-u\tʔalb\t-a\t-si\ttʼab\t-is\t-o\t-he\t...,God\tNOM.U\tface\tACC\t3SG.M.POSS\tshine\tCAUS\tJUSS.3K\t2SG.ACC/DAT\t,May God let his face shine upon you ...,,,IV 36-12,,SN003598,n\tn:Any\tn\tn:Any\tPronoun\tv\tv:Any\tv:Any\tPronoun\t,magano\t-u 3\tʔalba 1\t-a 1\t-si 1\ttʼabi\t-is\t-o 4\t-he\t
XV001027,sid,konni ʔalbira leelliʃeemmo ...,konn\t-i\tʔalb\t-i\t-ra\tleelliʃ\t-eemmo\t...,this\tOBL\tin_the_face\tOBL\tDAT\tshow\tIMPF.1SG.M\t,I will show it in the future,,,XX 43-16,,SN003598,pro\tn:Any\tadverbial\tn:Any\tcase\tv\tv:Any\t,konne 2\t-i 1\tʔalba 1\t-i 1\t-ra 1\tleelliʃi\t-eemmo\t
XV001028,sid,ʔalbasinni,ʔalb\t-a\t-si\t-nni,before\tACC\t3K.POSS\tABL,"before him, in front of him",,,VI 4-13,,SN003599,adverbial\tn:Any\tPronoun\tcase,ʔalba 2\t-a 1\t-si 1\t-nni 1
XV001029,sid,ʔalbaʔyanni,ʔalb\t-a\t-ʔya\t-nni,before\tACC\t1SG.POSS\tABL,"before me, in front of me",,,III 3-3,,SN003599,adverbial\tn:Any\tPronoun\tcase,ʔalba 2\t-a 1\t-ʔya\t-nni 1
